Index	QuestionId	AskerId	AskerName	AskerReputation	Tags	Is_answered	View_count	Accepted_Answer_id	Answer_count	QuestionScore	DateAsked	link	QuestionTitle	answer_id	AnswererId	AnswererName	AnswerererReputation	Is_answer_accepted	Answerer_Score	DateAnswered
1	58441514	10133797	OverLordGoldDragon	3570	"['python', 'tensorflow', 'keras', 'performance-testing', 'tensorflow2.0']"	TRUE	909	58653632	2	55	1571351313	https://stackoverflow.com/questions/58441514/why-is-tensorflow-2-much-slower-than-tensorflow-1	Why is TensorFlow 2 much slower than TensorFlow 1?	58653632	10133797	OverLordGoldDragon	3570	TRUE	10	1572577715
2	58441514	10133797	OverLordGoldDragon	3570	"['python', 'tensorflow', 'keras', 'performance-testing', 'tensorflow2.0']"	TRUE	909	58653632	2	55	1571351313	https://stackoverflow.com/questions/58441514/why-is-tensorflow-2-much-slower-than-tensorflow-1	Why is TensorFlow 2 much slower than TensorFlow 1?	58653636	10133797	OverLordGoldDragon	3570	FALSE	9	1572577736
3	58378374	2593810	off99555	1347	"['python', 'tensorflow', 'keras', 'jupyter-notebook', 'jupyter-lab']"	TRUE	406	58385156	2	15	1571061498	https://stackoverflow.com/questions/58378374/why-does-keras-model-predict-slower-after-compile	Why does keras model predict slower after compile?	58378941	10133797	OverLordGoldDragon	3570	FALSE	8	1571063560
4	58378374	2593810	off99555	1347	"['python', 'tensorflow', 'keras', 'jupyter-notebook', 'jupyter-lab']"	TRUE	406	58385156	2	15	1571061498	https://stackoverflow.com/questions/58378374/why-does-keras-model-predict-slower-after-compile	Why does keras model predict slower after compile?	58385156	10133797	OverLordGoldDragon	3570	TRUE	6	1571094941
5	58276337	2066786	rmccabe3701	843	"['python', 'tensorflow', 'machine-learning', 'keras', 'lstm']"	TRUE	161	58277760	1	7	1570478273	https://stackoverflow.com/questions/58276337/proper-way-to-feed-time-series-data-to-stateful-lstm	Proper way to feed time-series data to stateful LSTM?	58277760	10133797	OverLordGoldDragon	3570	TRUE	5	1570486115
6	58279628	10133797	OverLordGoldDragon	3570	"['python', 'tensorflow', 'keras', 'tensorflow2.0']"	TRUE	135	58279629	1	5	1570503187	https://stackoverflow.com/questions/58279628/what-is-the-difference-between-tf-keras-and-tf-python-keras	What is the difference between tf.keras and tf.python.keras?	58279629	10133797	OverLordGoldDragon	3570	TRUE	4	1570503187
7	58433555	10629062	Code Now	35	"['tensorflow', 'keras', 'conv-neural-network', 'google-colaboratory', 'reproducible-research']"	TRUE	98	58444460	1	5	1571318040	https://stackoverflow.com/questions/58433555/why-are-my-results-still-not-reproducible	Why are my results still not reproducible?	58444460	10133797	OverLordGoldDragon	3570	TRUE	3	1571376476
8	58620552	4684861	Mohamed Thasin ah	4803	"['python', 'python-3.x', 'tensorflow']"	TRUE	41	58622067	2	5	1572421193	https://stackoverflow.com/questions/58620552/tf-reshape-is-not-giving-none-for-first-element	tf.reshape is not giving ?(None) for first element	58622508	1665160	Dejvovo	45	FALSE	0	1572428699
9	58620552	4684861	Mohamed Thasin ah	4803	"['python', 'python-3.x', 'tensorflow']"	TRUE	41	58622067	2	5	1572421193	https://stackoverflow.com/questions/58620552/tf-reshape-is-not-giving-none-for-first-element	tf.reshape is not giving ?(None) for first element	58622067	1782792	jdehesa	37080	TRUE	1	1572427263
10	58237726	8733347	Pouteri	70	"['python', 'tensorflow', 'keras', 'deep-learning', 'tensorflow-datasets']"	TRUE	142	58248902	2	5	1570196953	https://stackoverflow.com/questions/58237726/keras-model-fails-to-decrease-loss	Keras model fails to decrease loss	58248902	10133797	OverLordGoldDragon	3570	TRUE	2	1570283135
11	58237726	8733347	Pouteri	70	"['python', 'tensorflow', 'keras', 'deep-learning', 'tensorflow-datasets']"	TRUE	142	58248902	2	5	1570196953	https://stackoverflow.com/questions/58237726/keras-model-fails-to-decrease-loss	Keras model fails to decrease loss	58238191	6590393	Rachayita Giri	314	FALSE	-1	1570198697
12	58629848	12205961	HDB	32	"['python', 'list', 'tensorflow', 'pytorch']"	TRUE	67	58630439	2	4	1572452713	https://stackoverflow.com/questions/58629848/how-to-fix-this-error-list-indices-must-be-integers-or-slices-not-tuple	"How to fix this error: list indices must be integers or slices, not tuple"	58631713	4228275	Berriel	3802	FALSE	2	1572460225
13	58629848	12205961	HDB	32	"['python', 'list', 'tensorflow', 'pytorch']"	TRUE	67	58630439	2	4	1572452713	https://stackoverflow.com/questions/58629848/how-to-fix-this-error-list-indices-must-be-integers-or-slices-not-tuple	"How to fix this error: list indices must be integers or slices, not tuple"	58630439	12297767	Groger	126	TRUE	2	1572455064
14	58356868	2991243	user2991243	1510	"['python', 'tensorflow', 'keras', 'lstm', 'attention-model']"	TRUE	132	58357581	1	4	1570902476	https://stackoverflow.com/questions/58356868/how-visualize-attention-lstm-using-keras-self-attention-package	How visualize attention LSTM using keras-self-attention package?	58357581	10133797	OverLordGoldDragon	3570	TRUE	3	1570907447
15	58303778	866082	Mehran	4893	"['python', 'tensorflow', 'keras']"	TRUE	39	58304599	1	4	1570622761	https://stackoverflow.com/questions/58303778/what-is-the-right-way-to-manipulate-the-shape-of-a-tensor-when-there-are-unknown	What is the right way to manipulate the shape of a tensor when there are unknown elements in it?	58304599	2097240	Daniel M&#246;ller	48862	TRUE	3	1570625600
16	58210700	11861082	Albert	170	"['python', 'tensorflow', 'keras', 'neural-network']"	TRUE	128	58210853	1	4	1570060307	https://stackoverflow.com/questions/58210700/are-these-models-equivalent	Are these models equivalent?	58210853	10133797	OverLordGoldDragon	3570	TRUE	2	1570061865
17	58455765	7672661	ibvfteh	20	"['python', 'tensorflow', 'keras', 'gpu']"	TRUE	120	58455845	1	3	1571420505	https://stackoverflow.com/questions/58455765/keras-sees-my-gpu-but-doesnt-use-it-when-training-a-neural-network	Keras sees my GPU but doesn&#39;t use it when training a neural network	58455845	2174693	francoisr	2675	TRUE	3	1571420938
18	58239781	11552661	tbone	168	"['python', 'pandas', 'tensorflow', 'keras']"	TRUE	75	58240114	1	3	1570204698	https://stackoverflow.com/questions/58239781/keyerror-filename-pandas	KeyError: &#39;filename&#39; (Pandas)	58240114	4238408	Quang Hoang	25384	TRUE	3	1570206424
19	58607510	9624112	Tanya	18	"['tensorflow', 'variables', 'session']"	TRUE	33	58608645	2	3	1572352128	https://stackoverflow.com/questions/58607510/different-results-for-the-same-code-with-tf-control-dependencies	different results for the same code with tf.control_dependencies	58608645	10418086	stephen_mugisha	429	TRUE	1	1572356610
20	58607510	9624112	Tanya	18	"['tensorflow', 'variables', 'session']"	TRUE	33	58608645	2	3	1572352128	https://stackoverflow.com/questions/58607510/different-results-for-the-same-code-with-tf-control-dependencies	different results for the same code with tf.control_dependencies	58608203	1782792	jdehesa	37080	FALSE	1	1572354989
21	58344477	4146344	Dang Manh Truong	109	"['python', 'tensorflow', 'machine-learning', 'keras']"	TRUE	116	58392540	1	3	1570808061	https://stackoverflow.com/questions/58344477/keras-image-classification-high-accuracy-shown-but-low-on-test-images	Keras image classification: High accuracy shown but low on test images	58392540	2097240	Daniel M&#246;ller	48862	TRUE	1	1571135296
22	58227802	5601592	Sus20200	212	"['python-3.x', 'tensorflow', 'keras', 'neural-network', 'backend']"	TRUE	45	58231450	2	3	1570142740	https://stackoverflow.com/questions/58227802/implementing-clipping-function-using-keras-backend	Implementing clipping function using Keras backend	58337563	12192957	karandeep36	96	FALSE	0	1570783881
23	58227802	5601592	Sus20200	212	"['python-3.x', 'tensorflow', 'keras', 'neural-network', 'backend']"	TRUE	45	58231450	2	3	1570142740	https://stackoverflow.com/questions/58227802/implementing-clipping-function-using-keras-backend	Implementing clipping function using Keras backend	58231450	9828197	eugen	797	TRUE	1	1570172635
24	58499119	9268287	vincent	33	"['python', 'tensorflow']"	TRUE	67	58499721	1	3	1571729338	https://stackoverflow.com/questions/58499119/typeerror-cannot-convert-0-0-to-eagertensor-of-dtype-int32	TypeError: Cannot convert 0.0 to EagerTensor of dtype int32	58499721	9268287	vincent	33	TRUE	0	1571731700
25	58291184	9855577	Umair Javaid	59	"['python', 'tensorflow', 'keras', 'deep-learning']"	TRUE	95	58292028	2	2	1570555304	https://stackoverflow.com/questions/58291184/keras-getting-different-accuracy-using-model-train-on-batch-and-model-fit	Keras: Getting different accuracy using model.train_on_batch() and model.fit(). What could be the reason and how to fix that?	58292028	10133797	OverLordGoldDragon	3570	TRUE	4	1570558996
26	58291184	9855577	Umair Javaid	59	"['python', 'tensorflow', 'keras', 'deep-learning']"	TRUE	95	58292028	2	2	1570555304	https://stackoverflow.com/questions/58291184/keras-getting-different-accuracy-using-model-train-on-batch-and-model-fit	Keras: Getting different accuracy using model.train_on_batch() and model.fit(). What could be the reason and how to fix that?	58291756	7212365	zihaozhihao	1860	FALSE	0	1570557655
27	58631088	2905222	Brandon	656	"['python', 'tensorflow', 'machine-learning', 'keras', 'deep-learning']"	TRUE	45	58631965	2	2	1572457627	https://stackoverflow.com/questions/58631088/why-are-my-neural-network-predictions-correct-when-applied-to-mnist-hand-drawn-i	"Why are my neural network predictions correct when applied to MNIST hand-drawn images, but incorrect when applied to my own hand-drawn images?"	58631965	4531017	Callin	595	TRUE	2	1572461375
28	58631088	2905222	Brandon	656	"['python', 'tensorflow', 'machine-learning', 'keras', 'deep-learning']"	TRUE	45	58631965	2	2	1572457627	https://stackoverflow.com/questions/58631088/why-are-my-neural-network-predictions-correct-when-applied-to-mnist-hand-drawn-i	"Why are my neural network predictions correct when applied to MNIST hand-drawn images, but incorrect when applied to my own hand-drawn images?"	58631264	11744692	willteam	26	FALSE	1	1572458372
29	58505880	11929946	piljae.chae	21	"['tensorflow', 'pytorch', 'tensorflow2.0']"	TRUE	53	58507709	2	2	1571752334	https://stackoverflow.com/questions/58505880/tensorflow-2-0-dataset-and-dataloader	Tensorflow 2.0 dataset and dataloader	58507709	6923568	Mat	756	TRUE	2	1571758328
30	58505880	11929946	piljae.chae	21	"['tensorflow', 'pytorch', 'tensorflow2.0']"	TRUE	53	58507709	2	2	1571752334	https://stackoverflow.com/questions/58505880/tensorflow-2-0-dataset-and-dataloader	Tensorflow 2.0 dataset and dataloader	58506005	1553225	Eirik Moseng	86	FALSE	1	1571752748
31	58433022	10371314	Codie	30	"['python', 'tensorflow', 'keras']"	TRUE	80	58455292	3	2	1571316393	https://stackoverflow.com/questions/58433022/keras-over-fitting-conv2d	Keras: Over fitting Conv2D	58455292	10133797	OverLordGoldDragon	3570	TRUE	0	1571418224
32	58433022	10371314	Codie	30	"['python', 'tensorflow', 'keras']"	TRUE	80	58455292	3	2	1571316393	https://stackoverflow.com/questions/58433022/keras-over-fitting-conv2d	Keras: Over fitting Conv2D	58434402	12118774	Physicing	356	FALSE	2	1571320606
33	58433022	10371314	Codie	30	"['python', 'tensorflow', 'keras']"	TRUE	80	58455292	3	2	1571316393	https://stackoverflow.com/questions/58433022/keras-over-fitting-conv2d	Keras: Over fitting Conv2D	58433206	12023442	ArunJose_Intel	590	FALSE	1	1571316955
