Index,QuestionId,AskerId,AskerName,QuestionTitle,answer_id,AnswererId
1,58441514,10133797,OverLordGoldDragon,Why is TensorFlow 2 much slower than TensorFlow 1?,58653632,10133797
2,58441514,10133797,OverLordGoldDragon,Why is TensorFlow 2 much slower than TensorFlow 1?,58653636,10133797
3,58378374,2593810,off99555,Why does keras model predict slower after compile?,58378941,10133797
4,58378374,2593810,off99555,Why does keras model predict slower after compile?,58385156,10133797
5,58276337,2066786,rmccabe3701,Proper way to feed time-series data to stateful LSTM?,58277760,10133797
6,58279628,10133797,OverLordGoldDragon,What is the difference between tf.keras and tf.python.keras?,58279629,10133797
7,58433555,10629062,Code Now,Why are my results still not reproducible?,58444460,10133797
8,58620552,4684861,Mohamed Thasin ah,tf.reshape is not giving ?(None) for first element,58622508,1665160
9,58620552,4684861,Mohamed Thasin ah,tf.reshape is not giving ?(None) for first element,58622067,1782792
10,58237726,8733347,Pouteri,Keras model fails to decrease loss,58248902,10133797
11,58237726,8733347,Pouteri,Keras model fails to decrease loss,58238191,6590393
12,58629848,12205961,HDB,"How to fix this error: list indices must be integers or slices, not tuple",58631713,4228275
13,58629848,12205961,HDB,"How to fix this error: list indices must be integers or slices, not tuple",58630439,12297767
14,58356868,2991243,user2991243,How visualize attention LSTM using keras-self-attention package?,58357581,10133797
15,58303778,866082,Mehran,What is the right way to manipulate the shape of a tensor when there are unknown elements in it?,58304599,2097240
16,58210700,11861082,Albert,Are these models equivalent?,58210853,10133797
17,58455765,7672661,ibvfteh,Keras sees my GPU but doesn&#39;t use it when training a neural network,58455845,2174693
18,58239781,11552661,tbone,KeyError: &#39;filename&#39; (Pandas),58240114,4238408
19,58607510,9624112,Tanya,different results for the same code with tf.control_dependencies,58608645,10418086
20,58607510,9624112,Tanya,different results for the same code with tf.control_dependencies,58608203,1782792
21,58344477,4146344,Dang Manh Truong,Keras image classification: High accuracy shown but low on test images,58392540,2097240
22,58227802,5601592,Sus20200,Implementing clipping function using Keras backend,58337563,12192957
23,58227802,5601592,Sus20200,Implementing clipping function using Keras backend,58231450,9828197
24,58499119,9268287,vincent,TypeError: Cannot convert 0.0 to EagerTensor of dtype int32,58499721,9268287
25,58291184,9855577,Umair Javaid,Keras: Getting different accuracy using model.train_on_batch() and model.fit(). What could be the reason and how to fix that?,58292028,10133797
26,58291184,9855577,Umair Javaid,Keras: Getting different accuracy using model.train_on_batch() and model.fit(). What could be the reason and how to fix that?,58291756,7212365
27,58631088,2905222,Brandon,"Why are my neural network predictions correct when applied to MNIST hand-drawn images, but incorrect when applied to my own hand-drawn images?",58631965,4531017
28,58631088,2905222,Brandon,"Why are my neural network predictions correct when applied to MNIST hand-drawn images, but incorrect when applied to my own hand-drawn images?",58631264,11744692
29,58505880,11929946,piljae.chae,Tensorflow 2.0 dataset and dataloader,58507709,6923568
30,58505880,11929946,piljae.chae,Tensorflow 2.0 dataset and dataloader,58506005,1553225
31,58433022,10371314,Codie,Keras: Over fitting Conv2D,58455292,10133797
32,58433022,10371314,Codie,Keras: Over fitting Conv2D,58434402,12118774
33,58433022,10371314,Codie,Keras: Over fitting Conv2D,58433206,12023442
34,58418290,4980684,tkupek,Regularization of over-excited activation values in Tensorflow 2.0 Keras,58418425,774331
35,58381152,4607066,ChosunOne,What is causing large jumps in training accuracy and loss between epochs?,58385932,4607066
36,58381152,4607066,ChosunOne,What is causing large jumps in training accuracy and loss between epochs?,58382755,12118774
37,58333491,9119995,HoiM,What does experimental in TensorFlow mean?,58333539,10133797
38,58254885,11368194,hR 312,Error in build while using keras custom layer,58271055,11207938
39,58254885,11368194,hR 312,Error in build while using keras custom layer,58258118,5597718
40,58625549,132785,Neil,Implicitly enable TensorFlow v2 behaviour in TensorFlow v1,58625794,1782792
41,58570923,11573842,Yatin,"Getting &quot; ValueError: Output of generator should be a tuple `(x, y, sample_weight)` or `(x, y)` &quot; while",58571080,11220884
42,58502540,5808336,Milton,Training does not complete it&#39;s first epoch in Tensorflow 2.0,58506594,1190882
43,58396132,2061651,josteinb,Broadcasting dynamic dimension in Tensorflow,58398203,1782792
44,58369040,11901732,nilsinelabore,When and why do we use tf.reduce_mean?,58379534,2912518
45,58369040,11901732,nilsinelabore,When and why do we use tf.reduce_mean?,58371658,8366805
46,58347572,9035706,Eerik Sven Puudist,TensorFlow: classify image,58348048,12014856
47,58291557,2049763,Mazhar,TensorFlow object detection API evaluate training performance,58448463,8152837
48,58603755,12244488,eaindra,Why do these error messages show up in Compilation,58603845,10418086
49,58602039,3899975,A.E,how to add list of arrays (tensors),58602316,3250829
50,58566096,11861082,Albert,Custom loss function that updates at each step via gradient descent,58647668,2097240
51,58564613,2886575,Scott,tensorflow boolean_mask inverse?,58565329,7212365
52,58564613,2886575,Scott,tensorflow boolean_mask inverse?,58564859,2886575
53,58558004,238232,cnd,cPickle.PicklingError: Could not serialize object: NotImplementedError,58599907,10133797
54,58481332,6657314,Soulduck,Getting the indices of several elements in a Tensorflow at once,58483515,1782792
55,58453793,1543083,Ruben Kazumov,The clear_session() method of keras.backend does not clean up the fitting data,58467266,10133797
56,58453793,1543083,Ruben Kazumov,The clear_session() method of keras.backend does not clean up the fitting data,58464234,349130
57,58421182,12228795,Ot&#225;vio Augusto Silva,How to lock specific values of a Tensor in TensorFlow?,58422250,774331
58,58413230,12213054,gavasono,How to prevent keras from renaming layers,58428014,3214872
59,58376525,9299942,Sentinan,handle labels for a multi-headed CNN,58438992,9299942
60,58376525,9299942,Sentinan,handle labels for a multi-headed CNN,58378493,10133797
61,58306268,8334261,DocDriven,How to run training with pre-made dense layers in tensorflow 2.0?,58306464,4373898
62,58306268,8334261,DocDriven,How to run training with pre-made dense layers in tensorflow 2.0?,58306398,9393102
63,58300465,11687201,Sylvia,TensorBoard 2.0.0 not updating train scalars,58301505,2042297
64,58276718,2593878,dkv,How to load selected range of samples in Tensorboard,58430924,1782792
65,58244542,2066786,rmccabe3701,Tensorflow LSTM stateful option not maintaining state between batches,58244667,10133797
66,58215034,12157926,Bigfootso,Implementation of Python code which uses Tensorflow library into HTML?,58338717,12199329
67,58215034,12157926,Bigfootso,Implementation of Python code which uses Tensorflow library into HTML?,58215224,7553450
68,58197749,7238787,jabberwoo,Which version of TensorFlow.js is compatible with models trained in TensorFlow 1.12.0 (Python)?,58202111,1190882
69,58193588,9855577,Umair Javaid,Keras: How to get model predictions( or last layer output) in a custom generator during training?,58228704,10133797
70,58636087,6748145,Cutter,Tensorflow - ValueError: Failed to convert a NumPy array to a Tensor (Unsupported object type float),58667409,10133797
71,58436134,12229474,devnull,LSTM - Use deltaTime as a feature? How to handle irregular timestamps?,58437917,1358308
72,58436134,12229474,devnull,LSTM - Use deltaTime as a feature? How to handle irregular timestamps?,58436951,9594764
73,58401393,10371314,Codie,Keras: How can I comapre weights of different models?,58402706,10133797
74,58261348,10133797,OverLordGoldDragon,ValueError: Tried to convert &#39;y&#39; to a tensor and failed. Error: None values not supported,58279661,10133797
75,58228271,11861082,Albert,Keras backed taking the derivative of a function,58336137,12192957
76,58228271,11861082,Albert,Keras backed taking the derivative of a function,58229586,744616
77,58629296,7815941,Farnaz,Why do I need to reshape my input data to an additional dimension for Conv2D?,58629454,11220884
78,58629296,7815941,Farnaz,Why do I need to reshape my input data to an additional dimension for Conv2D?,58629433,8563649
79,58629296,7815941,Farnaz,Why do I need to reshape my input data to an additional dimension for Conv2D?,58629429,2846923
80,58436796,1892346,Shot,How to teach keras neural network to solve sqrt,58436941,8889727
81,58635521,6748145,Cutter,Tensorflow - TypeError: &#39;int&#39; object is not iterable,58635583,10133797
82,58635521,6748145,Cutter,Tensorflow - TypeError: &#39;int&#39; object is not iterable,58635578,523612
83,58635521,6748145,Cutter,Tensorflow - TypeError: &#39;int&#39; object is not iterable,58635565,11292489
84,58349239,7537870,DVK,How to customize Keras layer names and also have it automatically increment layer.name,58349308,10133797
85,58349239,7537870,DVK,How to customize Keras layer names and also have it automatically increment layer.name,58349602,7212365
86,58227659,2034850,Alon Yampolski,Tensorflow structured data model.predict() returns incorrect probabilities,58337662,12192957
87,58227659,2034850,Alon Yampolski,Tensorflow structured data model.predict() returns incorrect probabilities,58311694,12134850
88,58227659,2034850,Alon Yampolski,Tensorflow structured data model.predict() returns incorrect probabilities,58265834,10411744
89,58227659,2034850,Alon Yampolski,Tensorflow structured data model.predict() returns incorrect probabilities,58228014,7212365
90,58591562,10392393,Azerila,How can we use lbfgs_minimize in TensorFlow 2.0,58593300,4615566
91,58591562,10392393,Azerila,How can we use lbfgs_minimize in TensorFlow 2.0,58592165,1782792
92,58527815,11355006,Benoni,How to preprocess and feed data to keras model?,58528879,8455692
93,58626275,4896449,dendog,Loading tensorflow 1.x.x model into tensorflow 2.x.x,58626757,1782792
94,58576446,12209793,Paul McBurney,"Error in Keras Digit Dataset: expected conv2d_input to have 4 dimensions, but got array with shape (60000, 28, 28)",58576713,7331631
95,58576446,12209793,Paul McBurney,"Error in Keras Digit Dataset: expected conv2d_input to have 4 dimensions, but got array with shape (60000, 28, 28)",58581961,5136550
96,58576446,12209793,Paul McBurney,"Error in Keras Digit Dataset: expected conv2d_input to have 4 dimensions, but got array with shape (60000, 28, 28)",58576453,1190882
97,58555825,1709088,user781486,Support tensorflow v1.x and v2.0 on same PC,58556122,423926
